customer_id,signup_date,age,gender,city,device_type,customer_segment
1,2022-06-25,31,Male,Hyderabad,Mobile,High Value
2,2022-07-16,43,Female,Pune,Mobile,Regular
3,2023-06-22,38,Female,Hyderabad,Mobile,At Risk
4,2023-05-18,19,Female,Delhi,Desktop,High Value
5,2023-08-03,49,Male,Chennai,Mobile,High Value
6,2022-07-31,30,Male,Delhi,Mobile,Regular
7,2023-09-08,66,Female,Pune,Mobile,Regular
8,2022-12-15,58,Female,Delhi,Mobile,At Risk
9,2022-07-05,5,Female,Mumbai,Desktop,Regular
10,2023-02-03,36,Female,Hyderabad,Mobile,Regular
11,2023-06-20,25,Male,Bangalore,Mobile,Regular
12,2023-08-08,27,Female,Hyderabad,Mobile,Regular
13,2022-12-12,18,Male,Delhi,Mobile,Regular
14,2023-01-02,25,Female,Bangalore,Mobile,Regular
15,2023-07-09,61,Female,Bangalore,Mobile,Regular
16,2024-01-01,25,Male,Chennai,Mobile,High Value
17,2022-06-17,26,,Pune,Mobile,High Value
18,2022-03-10,34,Male,Mumbai,Desktop,Regular
19,2023-03-09,66,Female,Hyderabad,Mobile,Regular
20,2024-06-14,64,Female,Pune,Desktop,Regular
21,2023-01-27,20,Male,Chennai,Mobile,Regular
22,2023-05-28,60,Female,Bangalore,Mobile,High Value
23,2022-03-17,37,Female,Chennai,Desktop,Regular
24,2024-04-03,63,Female,Pune,Desktop,At Risk
25,2022-09-08,24,Female,Pune,Mobile,Regular
26,2022-01-07,22,Female,Pune,Mobile,At Risk
27,2024-02-27,69,Female,Pune,Desktop,At Risk
28,2023-03-21,45,Female,Hyderabad,Mobile,At Risk
29,2022-02-14,52,Female,Bangalore,Mobile,Regular
30,2023-12-05,62,Male,Chennai,Mobile,Regular
31,2022-11-22,90,Male,Mumbai,Mobile,Regular
32,2024-04-04,34,Male,Chennai,Mobile,High Value
33,2022-06-02,25,Female,Delhi,Desktop,At Risk
34,2022-07-03,27,Female,Delhi,Mobile,Regular
35,2022-04-23,45,Male,Delhi,Mobile,Regular
36,2024-02-03,37,Male,Delhi,Desktop,High Value
37,2022-07-09,41,Male,Delhi,Mobile,Regular
38,2022-10-18,29,Female,Pune,Desktop,Regular
39,2022-11-09,46,Female,Delhi,Mobile,Regular
40,2022-07-21,36,Female,Delhi,Mobile,Regular
41,2023-04-08,30,Female,Delhi,Mobile,Regular
42,2023-07-05,37,Male,Mumbai,Mobile,Regular
43,2024-02-12,48,Female,Bangalore,Desktop,Regular
44,2023-05-10,24,Female,Chennai,Mobile,Regular
45,2022-05-18,23,Male,Pune,Mobile,At Risk
46,2024-05-05,43,Male,Chennai,Desktop,Regular
47,2023-04-29,39,Female,Delhi,Mobile,Regular
48,2022-07-15,23,Male,Chennai,Desktop,High Value
49,2022-03-14,55,Female,Chennai,Mobile,Regular
50,2024-05-01,60,Female,Delhi,Mobile,Regular
51,2022-09-15,54,Female,Mumbai,Mobile,Regular
52,2023-12-06,90,Male,Hyderabad,Mobile,High Value
53,2023-02-05,38,Male,Delhi,Mobile,Regular
54,2023-01-10,19,Male,Chennai,Mobile,High Value
55,2022-12-16,53,Male,Bangalore,Mobile,Regular
56,2023-08-28,62,Female,Mumbai,Mobile,Regular
57,2024-02-04,48,Female,Hyderabad,Mobile,Regular
58,2023-08-07,30,Female,Pune,Mobile,Regular
59,2022-10-07,68,Female,Pune,Mobile,Regular
60,2023-06-07,45,Female,Mumbai,Desktop,High Value
61,2024-01-16,66,Male,Chennai,Mobile,High Value
62,2024-03-14,69,Female,Delhi,Mobile,Regular
63,2023-03-25,19,Female,Chennai,Mobile,Regular
64,2022-11-14,45,Female,Mumbai,Mobile,Regular
65,2023-01-27,34,Female,Bangalore,Desktop,Regular
66,2022-06-01,21,Male,Bangalore,Mobile,At Risk
67,2022-04-03,30,Female,Mumbai,Desktop,At Risk
68,2024-01-30,25,Female,Bangalore,Mobile,High Value
69,2022-08-13,66,Male,Hyderabad,Mobile,Regular
70,2023-10-24,52,Female,Pune,Mobile,Regular
71,2022-12-23,46,Female,Hyderabad,Mobile,Regular
72,2023-04-27,25,Female,Bangalore,Mobile,Regular
73,2023-08-03,38,Female,Bangalore,Desktop,High Value
74,2024-06-10,28,Male,Hyderabad,Mobile,Regular
75,2022-08-08,29,,Hyderabad,Mobile,Regular
76,2023-04-27,90,Female,Pune,Mobile,Regular
77,2022-01-20,18,Male,Hyderabad,Desktop,At Risk
78,2023-06-01,28,Male,Chennai,Mobile,High Value
79,2024-02-27,28,Male,Hyderabad,Desktop,Regular
80,2022-02-03,42,Male,Hyderabad,Mobile,Regular
81,2022-05-04,45,Male,Mumbai,Desktop,Regular
82,2022-10-14,68,Female,Delhi,Mobile,Regular
83,2023-11-29,49,,Pune,Mobile,High Value
84,2024-01-12,53,Female,Pune,Mobile,Regular
85,2024-04-21,51,Female,Chennai,Mobile,Regular
86,2024-06-14,50,Female,Delhi,Mobile,Regular
87,2023-02-20,31,Male,Bangalore,Desktop,At Risk
88,2022-05-11,20,Female,Delhi,Mobile,At Risk
89,2022-03-25,50,Female,Bangalore,Mobile,Regular
90,2023-02-07,35,Female,Chennai,Mobile,At Risk
91,2022-01-22,40,Male,Chennai,Mobile,Regular
92,2023-09-24,43,Female,Mumbai,Mobile,At Risk
93,2023-08-03,23,Male,Chennai,Desktop,Regular
94,2022-07-23,65,Female,Chennai,Mobile,Regular
95,2022-02-17,51,Male,Pune,Mobile,At Risk
96,2024-02-24,33,Male,Chennai,Mobile,Regular
97,2023-06-09,33,Male,Hyderabad,Mobile,Regular
98,2022-12-16,40,Male,Chennai,Desktop,Regular
99,2022-04-18,57,Female,Mumbai,Desktop,Regular
100,2024-01-16,55,Female,Chennai,Desktop,Regular
101,2023-01-29,34,Female,Pune,Mobile,At Risk
102,2024-04-24,47,Male,Hyderabad,Mobile,High Value
103,2024-04-15,23,Female,Delhi,Mobile,Regular
104,2023-09-15,55,Male,Mumbai,Mobile,At Risk
105,2023-10-17,35,Male,Bangalore,Desktop,High Value
106,2023-09-29,31,Female,Chennai,Mobile,Regular
107,2022-10-04,39,Female,Mumbai,Mobile,Regular
108,2022-11-06,20,Female,Mumbai,Mobile,Regular
109,2024-04-07,31,Male,Chennai,Desktop,Regular
110,2022-02-05,32,Female,Chennai,Mobile,High Value
111,2024-03-27,25,Female,Hyderabad,Desktop,High Value
112,2022-09-18,45,Male,Delhi,Desktop,High Value
113,2024-03-22,21,Female,Chennai,Mobile,Regular
114,2023-04-02,65,Male,Chennai,Mobile,Regular
115,2023-04-20,43,Male,Pune,Mobile,High Value
116,2024-02-02,69,Female,Hyderabad,Mobile,Regular
117,2023-07-21,66,Male,Chennai,Desktop,Regular
118,2023-07-10,48,Female,Mumbai,Mobile,At Risk
119,2022-08-04,52,Male,Chennai,Mobile,At Risk
120,2023-03-11,31,Male,Pune,Mobile,Regular
121,2022-02-09,46,Female,Delhi,Mobile,Regular
122,2022-05-12,50,Male,Delhi,Mobile,Regular
123,2023-02-18,35,Female,Chennai,Mobile,Regular
124,2023-04-06,56,Male,Mumbai,Mobile,Regular
125,2024-04-27,56,Female,Pune,Desktop,At Risk
126,2024-03-08,61,Male,Bangalore,Mobile,Regular
127,2023-10-11,68,Male,Chennai,Mobile,Regular
128,2023-07-21,62,Male,Delhi,Desktop,At Risk
129,2023-11-10,34,Female,Hyderabad,Desktop,Regular
130,2023-01-09,90,Male,Bangalore,Mobile,Regular
131,2023-12-12,35,Male,Hyderabad,Mobile,Regular
132,2023-10-24,37,Female,Hyderabad,Mobile,At Risk
133,2022-02-14,29,Male,Mumbai,Mobile,High Value
134,2023-10-10,21,Male,Chennai,Mobile,Regular
135,2023-12-23,60,Male,Bangalore,Mobile,Regular
136,2023-05-11,36,Female,Chennai,Mobile,High Value
137,2022-07-17,90,Male,Chennai,Mobile,Regular
138,2022-04-11,58,Female,Chennai,Mobile,Regular
139,2022-06-30,44,Female,Mumbai,Mobile,At Risk
140,2022-06-19,45,Male,Delhi,Mobile,Regular
141,2022-01-30,33,Male,Hyderabad,Desktop,Regular
142,2022-10-10,60,Male,Mumbai,Mobile,Regular
143,2024-04-12,47,Female,Bangalore,Mobile,High Value
144,2024-02-04,64,Male,Hyderabad,Mobile,Regular
145,2022-07-10,49,Male,Hyderabad,Mobile,Regular
146,2023-12-28,50,Male,Mumbai,Mobile,Regular
147,2024-01-09,52,Female,Chennai,Mobile,Regular
148,2022-01-13,33,Male,Bangalore,Mobile,High Value
149,2023-10-09,55,Female,Delhi,Mobile,Regular
150,2023-05-04,56,Female,Hyderabad,Mobile,Regular
151,2023-03-20,51,Male,Pune,Mobile,High Value
152,2022-04-17,61,Female,Delhi,Mobile,At Risk
153,2023-09-15,18,Female,Delhi,Mobile,High Value
154,2024-06-03,20,Female,Mumbai,Mobile,Regular
155,2023-05-13,21,Female,Delhi,Desktop,High Value
156,2022-12-16,51,Female,Delhi,Desktop,High Value
