order_item_id,order_id,product_id,quantity,item_price
1,1,137,1,891.1
2,1,273,1,3955.76
3,2,154,3,3659.85
4,2,255,1,2540.87
5,3,245,2,3720.0
6,3,176,3,3649.5
7,4,276,3,5294.7
8,5,273,2,3955.76
9,5,281,3,5584.73
10,5,196,3,3511.03
11,6,193,1,827.74
12,7,79,3,3104.79
13,7,283,2,3508.11
14,8,272,2,2167.52
15,8,108,2,4517.85
16,9,57,1,4455.76
17,10,138,1,4227.89
18,10,167,2,887.98
19,11,256,2,1255.21
20,11,233,2,5574.37
21,12,129,1,1873.37
22,13,162,3,3025.81
23,14,103,2,1983.88
24,14,247,1,4881.64
25,15,296,2,5979.65
26,15,158,3,889.25
27,16,264,3,3782.11
28,16,20,3,5629.13
29,16,172,3,5010.61
30,17,124,1,5145.54
31,18,257,3,2182.47
32,19,298,1,918.15
33,19,239,2,3159.72
34,20,288,2,2686.27
35,20,109,3,5495.97
36,21,183,2,1688.91
37,22,144,3,4477.73
38,22,70,1,4735.98
39,23,225,3,1430.7
40,24,29,3,3579.54
41,24,43,2,1090.9
42,25,240,2,698.16
43,25,24,3,3680.13
44,25,195,2,4460.8
45,26,292,3,5693.95
46,26,276,2,5294.7
47,26,249,2,5473.35
48,27,74,1,4688.02
49,28,101,1,1599.57
50,28,173,2,4683.84
51,29,69,1,5424.44
52,29,233,3,5574.37
53,30,93,1,2224.27
54,31,146,1,3389.29
55,31,157,1,5522.24
56,32,212,1,3146.75
57,32,33,1,696.22
58,32,47,2,4105.22
59,33,278,3,4202.31
60,34,177,1,4180.87
61,34,270,2,2464.33
62,35,296,3,5979.65
63,36,245,2,3720.0
64,36,108,3,4517.85
65,37,147,1,653.78
66,37,241,3,1738.37
67,37,13,3,3140.05
68,38,109,2,5495.97
69,39,239,3,3159.72
70,40,83,2,2501.77
71,40,186,1,812.24
72,41,198,1,5616.9
73,42,37,1,997.77
74,43,260,3,3959.59
75,43,52,2,3266.14
76,44,211,1,2473.69
77,45,87,2,2022.3
78,45,200,1,2997.11
79,45,134,2,1226.24
80,46,230,3,5825.72
81,46,159,3,2766.23
82,47,127,3,2013.51
83,47,291,2,5544.7
84,48,128,2,4208.02
85,48,23,3,1682.28
86,49,179,2,3213.45
87,49,265,2,2615.86
88,49,5,3,4578.15
89,50,298,2,918.15
90,51,93,1,2224.27
91,51,289,3,5446.71
92,51,174,3,1791.25
93,52,197,1,5853.36
94,52,12,3,3406.55
95,53,246,3,1669.14
96,54,228,2,2112.93
97,54,206,1,2469.69
98,54,209,3,1225.49
99,55,74,1,4688.02
100,56,105,3,3300.0
101,56,129,1,1873.37
102,56,75,2,2920.71
103,57,46,3,3247.02
104,57,18,2,948.31
105,58,111,3,1220.91
106,58,263,2,2049.77
107,58,213,3,1956.05
108,59,68,2,2597.35
109,60,235,2,1112.72
110,60,245,2,3720.0
111,60,175,3,2264.14
112,61,109,1,5495.97
113,62,96,2,2859.87
114,63,168,1,1009.21
115,63,37,3,997.77
116,63,121,2,2731.9
117,64,147,1,653.78
118,65,224,2,1470.06
119,65,269,1,1094.12
120,66,289,2,5446.71
121,66,146,2,3389.29
122,66,221,2,4842.24
123,67,85,3,5511.63
124,68,244,2,2280.36
125,69,187,2,5049.56
126,69,247,3,4881.64
127,70,290,1,574.76
128,70,56,2,5860.24
129,70,281,1,5584.73
130,71,248,3,3013.69
131,71,295,1,5639.02
132,72,73,3,1932.38
133,72,58,1,911.73
134,73,151,1,3733.47
135,73,11,3,1465.76
136,73,132,2,3781.56
137,74,82,3,583.27
138,74,75,1,2920.71
139,75,180,1,2791.2
140,76,109,2,5495.97
141,77,267,2,625.78
142,77,295,1,5639.02
143,78,37,3,997.77
144,78,46,1,3247.02
145,79,162,1,3025.81
146,79,85,3,5511.63
147,79,34,1,503.81
148,80,245,1,3720.0
149,81,234,3,5903.7
150,82,158,2,889.25
151,82,114,2,5384.51
152,83,239,2,3159.72
153,84,261,2,3374.75
154,84,143,1,5287.2
155,84,51,3,529.86
156,85,17,1,1124.76
157,85,182,1,5560.99
158,86,231,2,5925.11
159,86,58,1,911.73
160,87,267,3,625.78
161,87,55,3,806.91
162,88,154,3,3659.85
163,89,138,1,4227.89
164,89,23,1,1682.28
165,89,44,3,707.36
166,90,73,1,1932.38
167,90,25,3,3358.39
168,91,235,3,1112.72
169,92,97,2,4455.8
170,92,231,1,5925.11
171,93,154,3,3659.85
172,93,235,3,1112.72
173,94,260,2,3959.59
174,94,24,3,3680.13
175,95,122,3,5511.63
176,96,211,2,2473.69
177,97,145,2,3521.02
178,97,204,1,5839.28
179,97,129,3,1873.37
180,98,44,2,707.36
181,99,296,3,5979.65
182,99,113,3,2576.48
183,100,251,2,640.21
184,100,223,1,5624.62
185,101,108,2,4517.85
186,102,99,1,778.58
187,102,10,2,1592.94
188,102,266,3,1621.39
189,103,126,3,5824.75
190,104,42,2,5206.63
191,104,189,2,3996.25
192,104,21,3,2811.85
