order_id,customer_id,order_date,order_status,discount_amount,shipping_fee
1,2829,2024-09-03,Completed,57.51,30.08
2,2251,2024-06-11,Completed,673.74,171.59
3,11437,2024-02-29,Completed,337.78,31.42
4,6553,2024-04-19,Returned,361.62,150.98
5,7542,2024-03-04,Completed,-112.42,63.57
6,11741,2024-05-09,Completed,-108.23,140.7
7,5213,2023-03-03,Completed,590.28,67.44
8,2064,2023-04-01,Completed,41.74,170.52
9,5234,2024-08-04,Cancelled,181.02,82.94
10,4754,2023-11-16,Completed,395.76,69.61
11,7147,2024-03-14,Completed,219.96,73.29
12,5180,2023-06-28,Completed,165.34,75.35
13,10513,2024-02-16,Cancelled,-44.55,135.1
14,6229,2023-08-29,Completed,429.06,124.57
15,3754,2023-11-01,Completed,170.07,15.98
16,481,2024-03-08,Completed,498.0,79.23
17,7934,2023-08-08,Completed,200.56,20.57
18,6875,2023-11-24,Completed,8.13,3.33
19,1494,2024-11-12,Completed,-58.44,43.35
20,8730,2023-01-31,Completed,657.65,14.66
21,6022,2023-05-06,Returned,-139.33,83.82
22,9695,2024-05-07,Completed,-35.79,80.02
23,11331,2023-10-25,Cancelled,485.04,91.08
24,3325,2023-11-19,Completed,649.48,75.37
25,586,2023-10-02,Completed,135.58,171.64
26,9820,2024-10-05,Completed,510.28,191.2
27,7810,2024-10-28,Completed,339.41,34.14
28,9554,2023-09-29,Completed,77.9,18.87
29,8611,2023-08-26,Completed,-31.75,19.27
30,11938,2023-12-14,Returned,371.53,185.88
31,2085,2023-01-14,Completed,397.36,95.97
32,1575,2024-09-09,Completed,203.29,22.16
33,3709,2024-06-08,Completed,160.54,103.39
34,3959,2023-08-20,Completed,552.25,195.5
35,8787,2024-05-25,Completed,265.86,165.46
36,11119,2024-11-11,Completed,17.62,120.2
37,7174,2024-06-04,Completed,-80.64,97.43
38,3723,2024-05-26,Completed,635.46,103.5
39,1919,2023-10-15,Completed,162.62,164.27
40,3803,2024-06-23,Completed,-100.21,188.71
41,1544,2024-06-14,Completed,-96.14,179.45
42,5608,2024-11-18,Completed,-47.73,9.19
43,4474,2023-07-12,Completed,515.4,141.12
44,792,2024-05-31,Completed,456.56,82.81
45,2231,2023-09-05,Completed,620.49,161.96
46,2308,2023-10-16,Completed,254.67,148.13
47,5983,2024-10-13,Completed,-108.74,92.82
48,8360,2024-02-18,Returned,-27.11,57.41
49,8694,2024-06-10,Completed,7.96,26.88
50,10632,2023-06-03,Completed,-6.37,194.15
51,6704,2023-02-18,Completed,135.97,159.14
52,7187,2024-01-10,Completed,224.66,71.66
53,8988,2024-09-02,Completed,179.12,11.94
54,8366,2024-03-09,Completed,336.92,72.27
55,6236,2023-08-07,Completed,402.72,83.49
56,3681,2024-08-06,Completed,589.73,78.47
57,7357,2023-04-06,Completed,602.3,90.6
58,4360,2024-10-21,Returned,-15.59,95.76
59,2689,2024-06-07,Completed,-89.31,87.17
60,2560,2023-05-11,Completed,188.14,140.08
61,1315,2023-12-25,Completed,190.68,72.06
62,10702,2023-11-11,Completed,-103.24,40.06
63,7519,2023-08-03,Completed,537.63,57.57
64,11338,2024-08-22,Completed,269.75,194.37
65,5828,2024-09-28,Cancelled,257.3,57.3
66,9236,2023-03-28,Completed,243.48,74.59
67,4680,2023-01-28,Completed,198.76,26.57
68,331,2024-10-16,Completed,327.58,75.69
69,8785,2024-03-01,Completed,407.01,155.03
70,1610,2024-05-26,Returned,364.5,145.87
71,1150,2023-04-14,Completed,533.13,122.26
