session_id,customer_id,session_date,traffic_source,pages_viewed,session_duration_sec,converted
1,10865,2023-11-14,Organic,4,168,0
2,10118,2024-06-21,Organic,5,195,0
3,8281,2023-11-18,Email,7,115,0
4,10141,2023-12-23,Paid,5,75,0
5,874,2024-11-17,Email,5,718,0
6,8466,2023-08-04,Email,5,41,0
7,1884,2024-04-27,Organic,4,673,0
8,10949,2023-01-28,Organic,3,391,0
9,8352,2023-08-01,Organic,3,72,0
10,4295,2024-11-29,Email,2,4,0
11,7317,2024-03-06,Email,7,301,0
12,7696,2024-03-24,Email,9,212,1
13,887,2024-05-29,Paid,3,693,0
14,2125,2023-05-23,Social,4,60,0
15,9225,2024-02-12,Email,2,40,0
16,3007,2023-11-27,Organic,1,110,0
17,2444,2023-11-06,Organic,5,99,1
18,2301,2024-02-13,Social,5,19,0
19,8407,2023-05-22,Email,5,159,0
20,11745,2023-10-12,Email,4,76,0
21,7351,2024-04-23,Paid,3,1762,0
22,1110,2023-01-18,Email,10,138,0
23,2866,2024-05-04,Paid,3,1407,0
24,4942,2023-10-31,Social,6,218,1
25,10159,2023-03-01,Social,2,84,0
26,10607,2024-09-24,Organic,5,12,0
27,11937,2024-07-31,Email,2,261,0
28,2455,2023-05-07,Social,5,264,0
29,10959,2024-07-09,Email,2,507,0
30,9702,2023-06-01,Social,5,977,0
31,5944,2023-11-15,Social,6,599,0
32,11733,2023-08-01,Paid,7,14,0
33,8437,2024-06-05,Paid,2,1247,1
34,10074,2023-01-26,Paid,3,58,0
35,6878,2024-08-02,Organic,5,265,1
36,1680,2024-04-23,Social,3,167,0
37,9717,2023-06-24,Social,5,131,0
38,3990,2024-04-03,Paid,4,993,0
39,938,2023-04-21,Email,4,216,0
40,9923,2023-06-24,Paid,3,171,0
41,1826,2023-03-17,Paid,3,5,1
42,9838,2023-01-07,Organic,6,33,1
43,782,2023-04-15,Paid,7,106,0
44,4037,2024-03-31,Email,8,94,0
45,6174,2024-01-15,Organic,4,61,1
46,6940,2023-10-12,Paid,6,227,0
47,7916,2024-10-05,Organic,3,23,0
48,1462,2024-08-01,Paid,6,70,1
49,9701,2023-02-27,Paid,1,210,0
50,8779,2023-12-13,Organic,3,460,0
51,3521,2023-05-31,Social,6,20,0
52,3789,2023-11-18,Social,8,111,0
53,6302,2024-05-22,Paid,2,38,0
54,2879,2024-09-24,Social,3,846,0
55,8015,2024-05-21,Paid,3,171,0
56,3101,2024-10-23,Paid,10,927,0
57,699,2023-01-16,Email,5,15,0
58,10730,2024-09-17,Organic,5,538,0
59,1001,2023-10-01,Paid,5,240,0
60,56,2024-04-25,Email,5,3,0
61,10566,2024-07-29,Email,7,103,0
62,9839,2024-03-06,Email,9,104,0
63,8285,2024-07-16,Organic,3,693,0
64,5506,2024-07-27,Email,5,9,0
65,6064,2024-08-20,Social,4,83,0
66,4505,2024-09-12,Organic,4,116,0
67,4896,2023-05-09,Organic,5,199,0
68,1228,2024-03-25,Organic,4,108,0
69,211,2024-05-08,Organic,5,1772,1
70,10127,2023-09-16,Email,3,321,0
71,11285,2024-09-24,Email,5,160,0
72,711,2023-04-06,Email,4,171,0
73,4731,2023-04-09,Paid,8,104,0
74,7144,2024-05-22,Social,5,859,1
75,9440,2024-02-04,Organic,3,282,0
76,6066,2023-09-02,Paid,8,132,0
77,18,2024-04-09,Email,4,822,0
78,5647,2024-11-30,Email,3,243,0
79,3859,2024-11-15,Email,9,348,0
80,8051,2023-05-04,Social,6,268,0
81,6920,2024-09-11,Social,5,94,0
82,11710,2023-02-05,Email,9,474,0
83,2060,2024-04-03,Social,9,516,0
84,11678,2023-10-24,Social,3,311,0
85,1039,2023-12-02,Organic,4,395,0
86,4707,2023-06-04,Paid,3,68,0
87,3340,2023-08-27,Organic,2,201,0
88,569,2023-09-26,Paid,3,452,0
89,4662,2024-04-18,Paid,5,333,0
90,7488,2024-07-20,Email,4,162,0
91,2724,2024-03-01,Paid,5,5,0
92,3801,2024-04-02,Email,5,234,0
93,9796,2023-05-26,Organic,9,464,0
94,10691,2023-01-03,Social,6,624,0
95,2355,2023-05-29,Email,3,390,0
96,1988,2024-09-14,Paid,7,298,0
97,538,2023-06-28,Social,10,102,0
98,69,2024-04-08,Email,6,9,0
99,2645,2023-01-15,Email,7,634,0
100,7114,2023-08-09,Social,4,297,0
101,1199,2024-05-02,Email,7,228,0
102,4781,2024-06-16,Social,7,115,0
103,4679,2023-07-19,Social,5,279,0
104,3927,2024-10-29,Email,5,148,0
105,11860,2024-07-30,Email,1,182,0
106,11153,2023-04-18,Organic,6,212,0
107,10902,2024-04-07,Paid,2,144,0
108,1329,2023-02-06,Email,4,308,0
109,6791,2023-02-25,Email,3,44,0
110,2570,2024-04-16,Paid,6,120,0
111,9437,2024-02-26,Social,6,93,0
112,370,2023-11-30,Email,6,279,0
113,1672,2023-02-28,Organic,5,16,0
114,99,2024-10-22,Paid,1,1005,0
115,2930,2024-08-15,Paid,3,18,0
116,9310,2024-06-26,Email,7,750,0
117,2416,2024-03-29,Social,4,19,0
118,6175,2024-11-16,Organic,3,383,0
119,5136,2023-04-09,Social,4,40,0
120,10920,2023-01-10,Paid,2,29,0
121,4414,2024-05-10,Paid,3,327,0
122,6472,2024-07-31,Organic,7,284,0
